(3629268805, 2711100.0)
(3911691385, 4659480.0)
(5391725720, 4325760.0)
(2247650772, 261360.00000000003)
(9831162865, 1607999.9999999998)
(9919929106, 1548180.0)
(1988076703, 1417680.0)
(8753097539, 1453860.0)
(5288024690, 1654620.0)
(9736701343, 2912999.9999999995)
(2792545403, 1822800.0)
(5261493584, 1981800.0)
(2902210022, 231840.0)
(6780842556, 392160.0)
(7049957607, 3740220.0)
(8892761735, 1252680.0)
(4743411044, 254760.0)
(9386578364, 1748760.0000000002)
(1051877789, 4147200.0)
(4859954761, 4779900.0)
(3445911869, 1438500.0)
(9202065304, 1560600.0)
(2908759550, 928800.0)
(6108439689, 2783520.0)
(3163108610, 2161919.9999999995)
(3734272900, 2317920.0)
(3034845458, 1283040.0)
(2294627371, 3018960.0)
(7233977854, 283200.0)
(2671487445, 653639.9999999999)
(9987984074, 3907200.0)
(5367497464, 2690039.9999999995)
(3990054337, 687120.0)
(9504592833, 1995300.0)
(1301071998, 765599.9999999999)
(1267648249, 4579680.0)
(2161839190, 948240.0)
(5194825753, 1497600.0)
(9781650702, 63179.99999999999)
(4492946642, 3661020.0)
(2915253666, 641280.0)
(8105598508, 574560.0)
(2667265452, 402240.0)
(3083033163, 1452000.0)
(7101221606, 634560.0)
(1350000463, 1015920.0)
(2948723183, 934260.0)
(5879058390, 3419999.9999999995)
(5183769892, 3663240.0)
(7190155861, 4078200.0)
(3197619473, 1456319.9999999998)
(1626506524, 185400.0)
(7543024242, 1904400.0)
(7809657262, 496440.0)
(6426436653, 902700.0)
(8279999332, 205200.0)
(9884935187, 927360.0)
(3973919843, 916440.0)
(2681099850, 965640.0)
(6596576166, 2905200.0)
(7924652065, 319440.0)
(7648790565, 797940.0)
(1214925937, 362520.0)
(4185501245, 115500.0)
(7578829598, 1013040.0)
(5774256869, 643500.0)
(3420445132, 2801040.0)
(7591703646, 621059.9999999999)
(5868231524, 3311159.9999999995)
(8480074729, 338100.0)
(4956790121, 2808000.0)
(6679605169, 3585120.0)
(4865440955, 3472920.0)
(1968631330, 57120.0)
(7404464281, 1586880.0)
(3276404104, 1590299.9999999998)
(4380416395, 1427580.0)
(5904344706, 428160.0)
(6755797410, 2679000.0)
(7084385666, 2441220.0)
(7862344283, 820259.9999999999)
(3643312120, 951900.0)
(3406033030, 608400.0)
(4299620488, 36719.99999999999)
(2270523472, 3297599.9999999995)
(9068123637, 3481559.9999999995)
(1497602135, 3150959.9999999995)
(1839934290, 2003760.0)
(7821694469, 711000.0)
(5079031669, 228000.0)
(2532471315, 1852200.0)
(5164110054, 1514699.9999999998)
(2973965253, 2799360.0)
(7357146969, 606000.0)
(9373153840, 2837159.9999999995)
(4984032161, 5214000.0)
(4530318238, 2117580.0)
(9410144378, 4344480.0)
(2714021538, 2412000.0)
(5231267182, 1875840.0)
(1958380807, 3066840.0)
(4156679767, 133500.0)
(2381702014, 3696660.0)
(6712116256, 1008000.0)
(1803904830, 2394720.0)
(5888806478, 1434120.0)
(2415085383, 1044000.0)
(2116348266, 227700.0)
(6839517318, 655380.0)
(3757111331, 4898040.0)
(2755727730, 1044960.0)
(1647185252, 128880.0)
(7067982671, 1434720.0)
(7028842489, 4582980.0)
(1174943723, 2435580.0)
(9496434958, 1034640.0)
(5504241432, 3045600.0)
(2676622397, 199260.0)
(8008302137, 1032000.0)
(7921300953, 828359.9999999999)
(7420439597, 500400.0)
