isbn,publisher_id,publish_date,publisher_revenue
9152185247,121,2004-09-21 00:00:00,2057160.0
2770192336,121,2010-02-11 00:00:00,887520.0000000001
8978149311,121,2006-10-06 00:00:00,2015200.0
7751260797,121,2014-01-07 00:00:00,532440.0
8455508108,121,2007-02-07 00:00:00,350000.0
6308465509,121,2004-07-13 00:00:00,176640.0
5469438804,121,2023-04-13 00:00:00,598320.0
9687454200,121,2009-03-19 00:00:00,2833920.0
8347483371,121,2008-11-09 00:00:00,1477519.9999999998
4726741915,121,2017-07-15 00:00:00,123880.0
2439697535,121,2018-07-22 00:00:00,73600.00000000001
1689150523,121,2013-02-28 00:00:00,1999800.0
4879128800,121,2006-03-05 00:00:00,62720.00000000001
1399140013,121,2019-04-03 00:00:00,1944080.0
8620216404,121,2012-12-09 00:00:00,478720.00000000006
6395518596,121,2015-07-17 00:00:00,66400.0
9418587882,121,2009-11-21 00:00:00,90160.0
9230808776,121,2001-07-23 00:00:00,237440.0
3273617650,121,2010-08-02 00:00:00,457920.0
7644835796,121,2008-05-10 00:00:00,2641120.0
6826370080,121,2004-04-24 00:00:00,729120.0
7719410558,121,2017-12-12 00:00:00,264920.0
6189175950,121,2023-02-01 00:00:00,1562880.0000000002
9460207629,121,2006-09-22 00:00:00,526000.0000000001
9184913887,121,2009-10-22 00:00:00,398400.00000000006
8005900293,121,2014-12-04 00:00:00,106640.0
6054457991,121,2018-08-10 00:00:00,433840.0
7970888855,121,2012-05-08 00:00:00,826200.0
7365668758,121,2010-01-01 00:00:00,1388880.0000000002
8632082509,121,2018-02-13 00:00:00,2428960.0
7274495170,121,2020-11-06 00:00:00,53359.99999999999
7072368576,121,2001-12-04 00:00:00,2115600.0
6293581908,121,2019-04-21 00:00:00,66240.00000000001
2190083360,121,2020-04-05 00:00:00,1764000.0
6785712265,121,2013-04-03 00:00:00,1932120.0
9212231669,121,2007-03-24 00:00:00,1406160.0
2947335955,121,2015-08-07 00:00:00,1250640.0
1227514797,121,2006-10-08 00:00:00,1459200.0000000002
